user_age,user_gender,like_to_click_ratio,bookmark_to_click_ratio,watch_time_last_7d,total_spent_amount,days_since_last_purchase,series_content_type,series_rating,days_since_last_update,series_wt_7d,series_wt_24h,series_like_ratio,series_like_ratio_7d,series_book_ratio,series_book_ratio_7d,series_share_ratio,series_share_ratio_7d,series_comment_ratio,series_comment_ratio_7d,log_series_clicks,log_series_clicks_7d,match_genre_wt_score,match_tag_click_7d_score,is_language_match,is_age_appropriate,label
27,FEMALE,0.27536690618402526,0.04131261491949417,593.3157556895427,0,-1,COMIC,4.1,1,106052.98336701133,15682.707417092715,0.18604651162790697,0.1947701920576228,0.10537790697674419,0.11173084843600352,0.009811046511627907,0.009952215598956343,0.042877906976744186,0.04694722794503592,3.7407573233077707,2.741151598851785,0.01,0.03,0,1,1
39,UNKNOWN,0.0956828137266262,0.04528124921162024,998.4498062392345,499000,-1,MOVIE,3.2,113,53698.922643850296,5330.000862207228,0.1318051575931232,0.12459496964350598,0.12822349570200572,0.13340991234942318,0.02836676217765043,0.026005138006431932,0.0329512893982808,0.030580187261430594,3.8439176380063924,2.8444771757456815,0.01,0.03,1,1,0
36,UNKNOWN,0.06525769088318449,0.058637224158062204,263.90965801894004,499000,-1,COMIC,3.1,159,567498.3943056822,99342.60396363304,0.1479577582835112,0.14258190524935485,0.07191149354640443,0.07452088524785813,0.013018941722076325,0.012945759094575198,0.03651449963681064,0.03414638720342264,4.553822366753852,3.5538830266438746,0.01,0.03,1,1,0
23,FEMALE,0.2823891710462881,0.13386121955948602,1055.5878953890515,0,49,MOVIE,3.9,144,386317.85562380234,68842.79369554014,0.12726050420168067,0.11605190399124762,0.13966386554621849,0.1303834222778648,0.016403361344537817,0.0174860688226056,0.023361344537815125,0.021386424245355997,4.473501567953073,3.473632926873841,0.02,0.02,0,1,1
24,UNKNOWN,0.14163694840965574,0.1529739610636278,288.24947335057857,499000,-1,COMIC,5,90,337174.7342472269,70969.55669630755,0.10235850165777036,0.10789191588847925,0.024831283655089707,0.024420679584266917,0.005032097255860983,0.005495088002893227,0.04768735156488819,0.04928317363170344,4.628674959262638,3.628695382714023,0.01,0.03,1,1,0
12,MALE,0.25170501403103684,0.10791802424898568,176.14943182865102,0,-1,MOVIE,4.8,30,130056.95780557494,26769.2249673352,0.09438966337980279,0.10213804226432771,0.11152669160149609,0.10992824665413743,0.0029921795307718464,0.003017427194326472,0.023529411764705882,0.021287183344177122,4.1674945616357215,3.16761267272753,0.01,0.01,0,0,0
31,UNKNOWN,0.08841678980548422,0.1922551272765442,116.54632931711478,99000,17,COMIC,4.4,120,62494.57348971998,11308.607606147336,0.24425334876798413,0.22815015408125186,0.06234496444517943,0.05724534411013436,0.013147015048784521,0.012523838714020434,0.04646932363155284,0.04234869950850896,4.082605872697899,3.0827853703164503,0.01,0.01,1,1,0
38,UNKNOWN,0.13218728223198573,0.1754486570960524,640.3974332991651,199000,34,COMIC,3.4,8,465625.59720137116,20312.35223150039,0.19477755632875046,0.2046116748418568,0.0575955139681789,0.060170626880802984,0.016349694287741107,0.017561262959230602,0.04587372901395129,0.0498764082925519,4.471350395537361,3.471438407389299,0.01,0.03,1,1,0
19,FEMALE,0.07371599454531126,0.14164295796883208,512.2237230005478,0,-1,MOVIE,5,29,184278.1430972118,18248.709111788863,0.21714662563200704,0.210791812248524,0.08507364255880413,0.08489373791081457,0.0127060892503847,0.012091386914691214,0.02387337876456364,0.023993038781622678,4.356905034810079,3.3569814009931314,0.02,0.01,0,1,0
42,FEMALE,0.08608057442878671,0.06831898197883013,711.6410058348249,499000,-1,MOVIE,3.4,34,834634.5815822559,118985.81229624001,0.08731469808285876,0.08673844784322642,0.1253966873886015,0.11476334679486919,0.013280876407425118,0.01278087176949168,0.012998304568969265,0.012880851289441015,4.662823914944352,3.6628522332647964,0.01,0.8200000000000001,0,1,0
31,MALE,0.2650913557976671,0.1617108169110127,442.11342426778276,199000,-1,COMIC,4.2,61,103400.19510567085,9710.046493633568,0.22056041084782413,0.20620519687528788,0.12649788269213444,0.1297126970619272,0.024146319488242186,0.02234238485166389,0.026849265699612577,0.025081663829633956,4.045322978786658,3.0453229787866576,0.01,0.02,0,1,0
37,UNKNOWN,0.22522980764020495,0.04287926880021677,613.2628548449269,199000,46,COMIC,3.4,119,41678.01241991524,5986.129450401693,0.0906986531986532,0.09240177381697434,0.11047979797979798,0.11207492664755914,0.017045454545454544,0.01648855986945654,0.022306397306397305,0.024510121912095725,3.6769678142947586,2.677606952720493,0.01,0.01,1,1,0
21,FEMALE,0.12220952006534384,0.0846722913631701,600.6684833146013,0,-1,COMIC,3.1,96,170447.7709219813,35828.58155620268,0.21642624702511049,0.20164203046735857,0.142891835446112,0.1464845886596707,0.009519646413133227,0.009083783723412966,0.011753849142746126,0.012865054193070316,4.313656346618031,3.3136563466180315,0.02,0.01,0,1,0
35,FEMALE,0.10938142577240738,0.19694501622450405,217.70974277525747,99000,-1,MOVIE,4.9,80,343584.80861053086,108847.71440419073,0.1629737609329446,0.15348773245615663,0.04529552080572489,0.04518896732396241,0.007606679035250464,0.007537261195298009,0.013543599257884972,0.014885634108854746,4.576698315636371,3.5768018958289125,0.02,0.03,0,1,1
14,FEMALE,0.14359220987817367,0.031028023759849033,318.3704904393309,199000,-1,COMIC,4.3,154,499718.2744293812,26973.54969471717,0.16441947565543072,0.15416339040302152,0.09787765293383272,0.0929366400559926,0.023158551810237203,0.02196966856566297,0.02365792759051186,0.025653729099858413,4.681792802879944,3.681874122128647,0.01,0.03,0,1,0
27,FEMALE,0.27536690618402526,0.04131261491949417,593.3157556895427,0,-1,MOVIE,4.6,89,252960.8030683705,39310.464781987575,0.05220575711122467,0.04780017034747547,0.1128995628229149,0.12090008845468592,0.021177539317549537,0.020718408419902353,0.01689093283370238,0.01687295342774258,4.546875659391229,3.5469126431812423,0.01,0.03,0,1,1
33,UNKNOWN,0.289269259922778,0.0935896518233915,904.9392828734562,0,-1,COMIC,4.8,176,249255.87340034544,60416.81284956311,0.2220416349678401,0.21234338740436773,0.12397122899232312,0.11864995579297176,0.01514627567604952,0.016239502887390962,0.02348018535168407,0.0235183437861414,4.461183271264588,3.461198288622493,0.02,0.02,0,1,1
34,FEMALE,0.23604861350986472,0.06432826511315987,628.5986802758853,0,-1,COMIC,3.1,59,255938.39749151526,41227.99894563791,0.211037527593819,0.19967326895875945,0.036488767692507466,0.03463454280739101,0.019477989871445268,0.017752755568371237,0.02895727827554863,0.031213024062058697,4.585528406492027,3.585573518622731,0.02,0.01,0,1,0
16,UNKNOWN,0.2098526926039837,0.1480895495827035,129.50417362747095,0,40,MOVIE,3.3,130,237038.35497678627,28839.328221851378,0.053769040489519596,0.058397279402957115,0.07954693399296967,0.07470328725208451,0.02486655383413618,0.02288489538128627,0.006683157574968537,0.006370273651509805,4.663578438958759,3.6636067081245205,0.02,0.01,1,0,0
41,MALE,0.2434017344541784,0.11461883649103786,1039.6673075288263,499000,-1,COMIC,3.1,115,172145.53107696827,39587.13252755909,0.09502544016984517,0.08803603872273286,0.05765218346205937,0.059528500471163176,0.012225923350049416,0.011107514493227468,0.044584355210659246,0.04667987512974314,4.436480695009495,3.436480695009495,0.81,0.01,0,1,0
33,UNKNOWN,0.21530648117247825,0.19203870021058575,843.5660022496027,199000,31,COMIC,4.1,95,234264.7901153119,47833.69868212338,0.15010159526176992,0.15721753761127732,0.0734512126583373,0.07711133012784802,0.01772513077687951,0.017470916003192494,0.020189356275128616,0.02111918967077884,4.364213183631557,3.3643633546157306,0.01,0.02,1,1,0
29,MALE,0.2211177488217273,0.05510115070410798,941.8933529811325,0,-1,MOVIE,3.7,79,429041.1907797805,124267.72494313914,0.09332623121823468,0.09820412891305519,0.13811394455911402,0.14552251345291298,0.019064740217946158,0.01885962177001335,0.04203564374015136,0.04470639806699222,4.653771910684735,3.653791187387812,0.01,0.02,1,1,0
12,UNKNOWN,0.26228155076801024,0.11023054729464586,211.33867948174114,0,-1,COMIC,4.2,156,489926.8771194943,21879.54605046779,0.10317624362684305,0.10686768861301138,0.1129254512884112,0.12021539433765925,0.02042855174314455,0.01930783833591448,0.01364200082678793,0.01347345151985322,4.462832075378275,3.4628470358316736,0.02,0.01,1,0,0
35,FEMALE,0.17739323865542556,0.045778835509112256,1033.7596870310736,99000,24,MOVIE,3.5,28,357648.0078874263,99188.53478143469,0.143533161701606,0.1360681809912187,0.10984430550447469,0.11868671952618146,0.015201667279637121,0.016156922649915563,0.022655388010297903,0.0216599014547956,4.610511114900085,3.6105537053170944,0.02,0.03,1,1,0
37,FEMALE,0.17816271303813547,0.024558954649171398,323.26092850875034,0,-1,COMIC,4.5,158,488038.1383016348,91749.81330767198,0.12602259446825087,0.11671641486686896,0.11530970003895598,0.12368607622312741,0.008681618342701319,0.008390739023196562,0.032667371584395345,0.03194005149807681,4.555565988729439,3.555578072772955,0.8,0.02,1,1,1
40,UNKNOWN,0.11165766373385043,0.06440451488248362,776.6241613405472,0,-1,MOVIE,3.9,154,209442.02061445737,54975.53926862848,0.05314442085880156,0.05174584792821813,0.07820771847267333,0.07184751234638012,0.001150865706759418,0.0011652703681371871,0.036674253855400116,0.03598684395344611,4.5921989713792435,3.5922878159521305,0.01,0.02,0,1,0
13,FEMALE,0.1934159004050533,0.041490472075247656,75.27182862037223,0,-1,COMIC,3.6,124,247190.0073506355,30888.556803378277,0.08124008461131677,0.08457847423355569,0.12024061343204653,0.12942794211989847,0.027696985721840296,0.02645860426496537,0.0331835007932311,0.03451221468603975,4.179810222878796,3.179838928023187,0.02,0.03,1,0,0
16,MALE,0.19022540329114934,0.1331153835204079,593.4664936270607,0,-1,MOVIE,3.3,166,264111.1498652858,37276.53028787219,0.06676849225398211,0.06731295727621317,0.086231725943705,0.08892789468636673,0.005585860789875627,0.0057334510644333776,0.010997163430067642,0.011156834816776328,4.360138813577575,3.3602146132953523,0.02,0.02,1,0,0
18,UNKNOWN,0.14632724780172723,0.13957241104172396,1194.618174096207,0,-1,MOVIE,3.4,34,834634.5815822559,118985.81229624001,0.08731469808285876,0.08673844784322642,0.1253966873886015,0.11476334679486919,0.013280876407425118,0.01278087176949168,0.012998304568969265,0.012880851289441015,4.662823914944352,3.6628522332647964,0.01,0.03,1,1,0
24,MALE,0.1659152240462552,0.06514626497809875,643.5971691552163,0,-1,COMIC,5,90,337174.7342472269,70969.55669630755,0.10235850165777036,0.10789191588847925,0.024831283655089707,0.024420679584266917,0.005032097255860983,0.005495088002893227,0.04768735156488819,0.04928317363170344,4.628674959262638,3.628695382714023,0.01,0.03,0,1,1
25,MALE,0.20698967401435286,0.07729163111983696,1051.112534858287,0,-1,COMIC,4.1,16,188477.8084417519,31572.727807360177,0.17482517482517482,0.17894999222952965,0.12037093341441167,0.11181322416290665,0.010063849194283978,0.009612487477996605,0.03499543934326543,0.031601222630183945,4.517077077735613,3.5171958979499744,0.01,0.03,1,1,1
45,UNKNOWN,0.10527718173533142,0.030971053691390527,356.25938784539875,0,24,COMIC,4.6,126,104570.85707129743,8362.623794470248,0.09608021877848678,0.10208564532844137,0.1487693710118505,0.1548002100437147,0.0043755697356426615,0.004068667088131044,0.02479489516864175,0.022673672643314505,3.739255803268511,2.739572344450092,0.01,0.03,0,1,0
